state,yr_txt,yr,usb,0-4,5-14,15-24,25-34,35-44,45-54,55-64,65-74,75-84,85p,
Connecticut,94-98,1,0,0,0,39,103,57,24,24,27,22,6,
Connecticut,99-03,2,0,0,0,58,101,57,42,34,17,24,6,
Connecticut,04-08,3,0,0,0,53,98,70,46,28,17,18,0,
Connecticut,09-13,4,0,0,0,41,106,50,37,23,21,24,6,
Connecticut,14-18,5,0,0,0,32,56,43,35,20,19,18,10,
Delaware,94-98,1,0,0,0,15,28,17,0,10,0,0,0,
Delaware,99-03,2,0,0,0,17,23,15,11,0,0,5,0,
Delaware,04-08,3,0,0,0,18,28,13,8,7,0,0,0,
Delaware,09-13,4,0,0,0,13,20,16,10,6,0,0,0,
Delaware,14-18,5,0,0,0,10,17,12,0,7,0,0,0,
District of Columbia,94-98,1,0,0,0,18,38,24,19,9,6,0,0,
District of Columbia,99-03,2,0,0,0,28,33,25,15,10,0,0,0,
District of Columbia,04-08,3,0,0,0,17,56,22,24,13,6,7,0,
District of Columbia,09-13,4,0,0,0,16,40,22,15,12,9,0,0,
District of Columbia,14-18,5,0,0,0,10,26,26,17,15,0,7,0,
Florida,94-98,1,0,10,29,222,481,485,314,191,158,94,40,
Florida,99-03,2,0,32,56,291,515,483,362,240,170,106,39,
Florida,04-08,3,0,23,64,367,521,465,404,242,169,99,27,
Florida,09-13,4,0,7,35,194,388,368,319,240,179,126,32,
Florida,14-18,5,0,0,19,184,318,315,310,266,206,109,35,
Georgia,94-98,1,0,15,23,108,121,73,57,34,32,10,0,
Georgia,99-03,2,0,16,17,185,248,133,81,48,31,9,0,
Georgia,04-08,3,0,15,14,181,300,180,110,71,47,15,0,
Georgia,09-13,4,0,5,21,130,230,169,128,75,45,29,10,
Georgia,14-18,5,0,8,11,68,180,149,101,88,75,48,10,
Hawaii,94-98,1,0,0,11,85,112,102,120,121,132,55,18,
Hawaii,99-03,2,0,5,5,61,67,95,101,97,76,63,26,
Hawaii,04-08,3,0,0,9,54,67,60,87,89,62,48,15,
Hawaii,09-13,4,0,0,6,51,62,50,79,99,83,48,20,
Hawaii,14-18,5,0,0,7,48,56,64,74,105,101,54,26,
Idaho,94-98,1,0,0,0,5,0,9,7,0,0,0,0,
Idaho,99-03,2,0,0,0,9,5,5,0,0,0,0,0,
Idaho,04-08,3,0,0,0,6,15,0,0,0,0,0,0,
Idaho,09-13,4,0,0,0,10,8,0,0,0,0,6,0,
Idaho,14-18,5,0,0,0,6,9,8,0,10,5,0,0,
Illinois,94-98,1,0,14,28,160,254,171,138,116,118,60,24,
Illinois,99-03,2,0,17,25,193,374,205,206,163,115,83,18,
Illinois,04-08,3,0,21,25,169,331,238,231,189,116,88,38,
Illinois,09-13,4,0,12,9,122,224,202,188,162,120,102,28,
Illinois,14-18,5,0,13,12,122,213,168,170,161,183,115,38,
Indiana,94-98,1,0,5,0,23,51,19,13,11,12,8,0,
Indiana,99-03,2,0,0,0,38,71,35,19,14,13,7,0,
Indiana,04-08,3,0,9,0,49,78,55,23,24,8,0,0,
Indiana,09-13,4,0,6,8,38,57,47,23,18,17,12,0,
Indiana,14-18,5,0,0,6,69,98,64,31,24,21,19,0,
Iowa,94-98,1,0,0,0,29,49,17,22,13,5,0,0,
Iowa,99-03,2,0,0,5,20,45,26,17,9,10,0,0,
Iowa,04-08,3,0,0,0,24,58,26,15,11,5,0,0,
Iowa,09-13,4,0,0,0,30,51,32,16,16,6,5,0,
Iowa,14-18,5,0,0,0,22,48,47,24,17,11,9,5,
Kansas,94-98,1,0,0,0,32,37,25,26,12,9,10,0,
Kansas,99-03,2,0,0,8,44,60,27,23,21,12,0,0,
Kansas,04-08,3,0,0,5,37,54,29,28,21,7,5,0,
Kansas,09-13,4,0,0,0,26,29,21,14,18,15,8,0,
Kansas,14-18,5,0,0,0,23,24,27,22,9,10,10,0,
Kentucky,94-98,1,0,0,0,18,22,16,12,12,5,0,0,
Kentucky,99-03,2,0,0,0,35,48,18,15,7,7,0,0,
Kentucky,04-08,3,0,0,0,49,48,34,10,8,9,0,0,
Kentucky,09-13,4,0,0,0,28,49,32,16,7,0,0,0,
Kentucky,14-18,5,0,0,5,24,55,35,32,15,16,0,0,
Louisiana,94-98,1,0,0,0,20,31,36,19,16,11,7,0,
Louisiana,99-03,2,0,0,0,13,29,33,21,18,10,10,0,
Louisiana,04-08,3,0,0,0,18,47,38,25,15,5,10,0,
Louisiana,09-13,4,0,0,0,22,36,36,27,24,10,13,0,
Louisiana,14-18,5,0,0,0,19,44,38,29,35,15,15,0,
Maine,94-98,1,0,0,0,6,11,7,0,0,0,0,0,
Maine,99-03,2,0,0,0,7,16,13,8,0,0,0,0,
Maine,04-08,3,0,0,0,8,13,10,5,0,0,0,0,
Maine,09-13,4,0,0,0,7,7,5,0,0,0,0,0,
Maine,14-18,5,0,0,0,11,15,15,5,5,5,0,0,
Maryland,94-98,1,0,13,14,100,197,123,71,62,67,36,8,
Maryland,99-03,2,0,0,21,131,227,159,92,62,53,31,7,
Maryland,04-08,3,0,6,17,165,274,170,108,71,52,35,15,
Maryland,09-13,4,0,6,12,86,215,178,107,65,69,31,12,
Maryland,14-18,5,0,0,14,106,170,162,117,94,83,49,15,
Massachusetts,94-98,1,0,0,18,148,252,185,106,81,59,43,16,
Massachusetts,99-03,2,0,7,11,144,304,173,125,97,92,40,18,
Massachusetts,04-08,3,0,0,19,137,262,164,138,116,77,69,18,
Massachusetts,09-13,4,0,0,6,107,194,135,114,88,73,61,22,
Massachusetts,14-18,5,0,0,12,90,165,151,112,113,99,85,24,
Michigan,94-98,1,0,9,5,45,88,59,43,40,21,17,5,
Michigan,99-03,2,0,8,13,96,155,91,55,41,35,26,9,
Michigan,04-08,3,0,0,9,79,145,60,36,48,39,30,11,
Michigan,09-13,4,0,0,0,50,93,72,56,39,42,35,10,
Michigan,14-18,5,0,0,9,46,79,55,46,41,49,36,10,
Minnesota,94-98,1,0,11,21,108,119,57,47,35,21,21,7,
Minnesota,99-03,2,0,10,50,263,258,94,67,49,33,18,0,
Minnesota,04-08,3,0,12,52,263,231,111,66,48,55,16,13,
Minnesota,09-13,4,0,7,23,118,185,89,57,60,43,25,5,
Minnesota,14-18,5,0,6,27,107,186,94,62,79,65,41,13,
Mississippi,94-98,1,0,0,0,8,15,9,7,7,0,0,0,
Mississippi,99-03,2,0,0,0,6,27,7,10,0,0,0,0,
Mississippi,04-08,3,0,0,0,13,20,13,10,0,0,0,0,
Mississippi,09-13,4,0,0,0,13,17,17,9,0,6,5,0,
Mississippi,14-18,5,0,0,0,6,13,11,8,8,0,0,0,
Missouri,94-98,1,0,0,0,38,49,23,24,15,19,11,0,
Missouri,99-03,2,0,5,0,38,61,35,20,19,21,9,0,
Missouri,04-08,3,0,0,0,43,68,36,21,21,12,15,0,
Missouri,09-13,4,0,0,6,42,51,37,30,24,19,15,0,
Missouri,14-18,5,0,0,0,39,75,36,34,26,13,11,6,
Montana,94-98,1,0,0,0,0,0,0,0,0,0,0,0,
Montana,99-03,2,0,0,0,0,0,0,0,0,0,0,0,
Montana,04-08,3,0,0,0,0,0,5,0,0,0,0,0,
Montana,09-13,4,0,0,0,0,0,0,0,0,0,0,0,
Montana,14-18,5,0,0,0,0,0,0,0,0,0,0,0,
Nebraska,94-98,1,0,0,0,5,18,11,8,5,5,0,0,
Nebraska,99-03,2,0,0,0,16,24,13,13,9,7,0,0,
Nebraska,04-08,3,0,0,0,25,29,15,20,8,7,7,0,
