,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
30,2416372,2501511,2530686,2447966,2481660,2470040,2413901,2399249,2388297,2314904,2310669,2292994,2265719,2222398,2187051,2260151,2273628,2310986,2398208,2444035,2487628,2631233,2795484,3177852,3007714,2966547,2912673,4000734,3720727,3733982,3734297,3860004,3953412,4074316,4057778,4165848,4255789,4318488,4470483,4476970,4463882,4547040,4575744,4534791,4500398,4381756,4180455,4116676,4078140,4185434,4298844,4218260,3994164,3813536,3737940,3866581,3779051,3894527,3970191,4104133,4333778,4304114,4285186,4299431,4251419,4412626,4403377,4410631
31,2350474,2406926,2498967,2531563,2456844,2496671,2492691,2441863,2429780,2424507,2355860,2313524,2280054,2241035,2184852,2137036,2198383,2197971,2221421,2291001,2320918,2367317,2510244,2673715,3047968,2893216,2860541,2815514,3881900,3619819,3648503,3639953,3772524,3877136,3862390,3963294,4068075,4155724,4213587,4359350,4364389,4465033,4468964,4486507,4431466,4387523,4262304,4060966,3989419,3944173,4019862,4302689,4210913,3973726,3790984,3705594,3824265,3724612,3828094,3890200,4015250,4042424,4243591,4302255,4319291,4274952,4434930,4425408
32,2296579,2296222,2356367,2448242,2486547,2417837,2462517,2462482,2413401,2405564,2403565,2361971,2317585,2285911,2246695,2190392,2145554,2207215,2207531,2231047,2305215,2343542,2389361,2531847,2694785,3070791,2914670,2880847,2839749,3907187,3649482,3660642,3662352,3805478,3792123,3880341,3980389,4084090,4167870,4224240,4365873,4419824,4519335,4525768,4541558,4488287,4445886,4324497,4122958,4053426,4002006,4082902,4330977,4245067,4023788,3848038,3772538,3899463,3807761,3921281,3995487,3967447,4333504,4258685,4319429,4339718,4294385,4453718
33,2305591,2346510,2345235,2402883,2496921,2534395,2464261,2507964,2503250,2452018,2441333,2404988,2358428,2312604,2277689,2235678,2179608,2132456,2191378,2188598,2218979,2293383,2329854,2373292,2512797,2673948,3043499,2887476,2858221,2815685,3872734,3595650,3619429,3636205,3623513,3754734,3845718,3947936,4051902,4139048,4197485,4410745,4427190,4520060,4515812,4525583,4466364,4420639,4294208,4089235,4034568,4014912,4095531,4337299,4257394,4035045,3860165,3780927,3907253,3813001,3926638,3933404,4067769,4346508,4273924,4337144,4356692,4310977
34,2305161,2343344,2383137,2377540,2435687,2528720,2565674,2492400,2531425,2524791,2471476,2448385,2415151,2374082,2332045,2301530,2266239,2214306,2171326,2235511,2254644,2281467,2358520,2396127,2441019,2586404,2753188,3136162,2979500,2948258,2905408,3975216,3705838,3744173,3731337,3738873,3875387,3972458,4080179,4191303,4284553,4544154,4573163,4578689,4658815,4642306,4640766,4571646,4513910,4374277,4196345,4033412,4026721,4102582,4349395,4268679,4049149,3871236,3791506,3916499,3822675,3822120,3990632,4078962,4359882,4289883,4352115,4371478
35,2296670,2301006,2336914,2371899,2365843,2421307,2512341,2546473,2468902,2505462,2497353,2475014,2449621,2415506,2372325,2329048,2299308,2262957,2210160,2165933,2225239,2252836,2275416,2347687,2380890,2422829,2562647,2722642,3100910,2941406,2912088,2860944,3920880,3672103,3659504,3686870,3697189,3836152,3932042,4040862,4153242,4350024,4551781,4594043,4609048,4702601,4698903,4713484,4656548,4610051,4524883,4161140,4050190,4042650,4127056,4377057,4302604,4083733,3908041,3829432,3958453,3948190,3953998,4000897,4090363,4373944,4303181,4364947
36,2302269,2318955,2322823,2356096,2392378,2385690,2441990,2533176,2564641,2486313,2523550,2499150,2475642,2449378,2413578,2369898,2327682,2297497,2260707,2206835,2184809,2222348,2245082,2262621,2329766,2359517,2396170,2528601,2685064,3050832,2896083,2863290,2820430,3870290,3857504,3599824,3624152,3632135,3764719,3856945,3961101,4219903,4277790,4472422,4507647,4518595,4606116,4601360,4612870,4552314,4519569,4457678,4168398,4051962,4048580,4130501,4380502,4302578,4083819,3905615,3825205,3830090,3840281,3962434,4010887,4102517,4385025,4313987
37,2286825,2308762,2329787,2335651,2375045,2416193,2414743,2476432,2571791,2609363,2533543,2523272,2498551,2474073,2446394,2410563,2367995,2325766,2295439,2257746,2222057,2184977,2222773,2245782,2264038,2333477,2363665,2400270,2537539,2695152,3065784,2899617,2876378,2845036,2836163,3877251,3624824,3651861,3663013,3798403,3894964,4139310,4265628,4316035,4498944,4524715,4526272,4606092,4592058,4592904,4524848,4534648,4459389,4165007,4051890,4044933,4126573,4370533,4291673,4071181,3891881,3896623,3963305,3847788,3971081,4021765,4112091,4394351
38,2257573,2294968,2306547,2314771,2311547,2339986,2370532,2358489,2405883,2487881,2514885,2531451,2521431,2496093,2470780,2443529,2409227,2367327,2325479,2294773,2230004,2219512,2177719,2210794,2229425,2244458,2308235,2332394,2366745,2496870,2645778,2976210,2811802,2786425,2778732,2732807,3719774,3463820,3476978,3475006,3595271,3817677,3957231,4097592,4163426,4360520,4406410,4430988,4531164,4537983,4560687,4529329,4538848,4462051,4174027,4060608,4056686,4136991,4382157,4304006,4085584,4080090,3842912,3969573,3855833,3980639,4030605,4120468
39,2203312,2238493,2276059,2285831,2295945,2293467,2323075,2353961,2340678,2389131,2473141,2511597,2528331,2518130,2492463,2467646,2442344,2409301,2368059,2326226,2292567,2240196,2237432,2203108,2244801,2273389,2296776,2369817,2406607,2451245,2600768,2766048,3136626,2992129,2985182,2970607,2937678,4027068,3782041,3821609,3850021,4107955,4180218,4291000,4396936,4423628,4586312,4590188,4571521,4627191,4614152,4553123,4534393,4542489,4473096,4185554,4074868,4070056,4151773,4397562,4321121,4324292,3906612,3848177,3976512,3864518,3988387,4038244
40,2146026,2152206,2196027,2240392,2261167,2281314,2289541,2329121,2368515,2366032,2424758,2468852,2506986,2523791,2513549,2488120,2465450,2441744,2409347,2368232,2422721,2304588,2255241,2256186,2225105,2272232,2304558,2331327,2412529,2454323,2494329,2599132,2761282,3125546,3119377,2959597,2936732,2902245,3951539,3697829,3725615,3844700,4027728,4123629,4254933,4385235,4437336,4628567,4661064,4668099,4716039,4606601,4551912,4529389,4540929,4470383,4184594,4071341,4065710,4145183,4388748,4387318,4087369,3910240,3853387,3983367,3870893,3994423
41,2108459,2137402,2145206,2188562,2236059,2258974,2281709,2291428,2330882,2372830,2370496,2419281,2462691,2501247,2518435,2508284,2485314,2464690,2441740,2409687,2363323,2422420,2294800,2236841,2229195,2191105,2228690,2251042,2271342,2342000,2375234,2397799,2507772,2673925,2669251,3021149,2872892,2856237,2827129,3856986,3618058,3717822,3748282,3917409,3999096,4116011,4231446,4272276,4446515,4465919,4470453,4700471,4610846,4556844,4540376,4553968,4488189,4202260,4090091,4085265,4166239,4163365,4327314,4089720,3913779,3858785,3987834,3875738
42,2061284,2107882,2131833,2132547,2172140,2214696,2233007,2249872,2252125,2286160,2321952,2364895,2412210,2455815,2494560,2511192,2503209,2482104,2461820,2438891,2397821,2361689,2421323,2294161,2236552,2230660,2192835,2230600,2256218,2277691,2351810,2382808,2407673,2521128,2517377,2678800,3030822,2881926,2864255,2836649,3865258,3638569,3723698,3761668,3936734,4026188,4151467,4276647,4326994,4510945,4550203,4514435,4699196,4606465,4555019,4537278,4552280,4485432,4199463,4085849,4079598,4082649,4386985,4327551,4091708,3917161,3861852,3990700
43,2010872,2053470,2101458,2124780,2128286,2169826,2214657,2234056,2250438,2254757,2290300,2316082,2356871,2403801,2446979,2484440,2502460,2495653,2474241,2453350,2392199,2386965,2348590,2406060,2277211,2218980,2211075,2171159,2209173,2233036,2265006,2365590,2394773,2418034,2415058,2520262,2677362,3021212,2868066,2847349,2817595,3593881,3608575,3695185,3732055,3905817,3995918,4121798,4248947,4299597,4410207,4523433,4515522,4699388,4610120,4559728,4544742,4560505,4495218,4209233,4095947,4093719,4161015,4385208,4327303,4093397,3918537,3863455
44,1963179,2000532,2046150,2095250,2123055,2130086,2175605,2223462,2244353,2264838,2271385,2282829,2306453,2346512,2392579,2434326,2472528,2491117,2483719,2461378,2418912,2382516,2381131,2346827,2408506,2284183,2229200,2224619,2190694,2233444,2260419,2282952,2392734,2431483,2429159,2455766,2569589,2736339,3096627,2948798,2933327,3983307,3704616,3705874,3778604,3801819,3964576,4040977,4154056,4264857,4310559,4470894,4511955,4497961,4679182,4585528,4532763,4512801,4524541,4454485,4168649,4178367,4078611,4158497,4383470,4327295,4093328,3919057
45,1920595,1973176,2008515,2050027,2098128,2123773,2128724,2171200,2214636,2233517,2250666,2262392,2272120,2294990,2334084,2379012,2421211,2459682,2477718,2469363,2465964,2405799,2368042,2365456,2330127,2391229,2266037,2209811,2206330,2171900,2210602,2216428,2240633,2350476,2348675,2384491,2412511,2525079,2689668,3042729,2898446,2843243,3927564,3673926,3692269,3783787,3826170,4010409,4109853,4244856,4342962,4301955,4461379,4499971,4486566,4666734,4573546,4519792,4499251,4509265,4438932,4438446,4087295,4074594,4155383,4381059,4324551,4091579
46,1861858,1896650,1951101,1986586,2031448,2082012,2110423,2117289,2160534,2207227,2227858,2242108,2252143,2260709,2282131,2319988,2364671,2406418,2443940,2460507,2433301,2450645,2390643,2353253,2351167,2317277,2378001,2253199,2200002,2196871,2178678,2248338,2244011,2258898,2257591,2355339,2379974,2395559,2494825,2645852,2978785,2830773,2770538,3826806,3577479,3594423,3682021,3723109,3902522,3997738,4088778,4331582,4301101,4462427,4506067,4496805,4682144,4591932,4541484,4523596,4536724,4529607,4168182,4081816,4070035,4151692,4376488,4320583
47,1823655,1865352,1899084,1950647,1986117,2029956,2079532,2105965,2109794,2152367,2195145,2210739,2224855,2234924,2243234,2264928,2303584,2348920,2391176,2428585,2415765,2423579,2442225,2383629,2348110,2348673,2315799,2377766,2256874,2205236,2210352,2202038,2272028,2268619,2267602,2280841,2379271,2403443,2418190,2517357,2668801,2855789,2862271,2802506,3862371,3613326,3630016,3718737,3760350,3938567,4020621,4152347,4330110,4300483,4465196,4511695,4506142,4694196,4606123,4557336,4540738,4535360,4424250,4161224,4076200,4065383,4146627,4370964
